frame,backend,ms,faces,box,eye_points
0,mediapipe,4.7,0,,
0,yunet,53.7,0,,
0,yolo,33.7,1,"[np.float64(1171.5263671875), np.float64(1032.9504318237305), np.float64(1738.7023315429688), np.float64(1080.2737655639648)]","{'eye_right': (np.float64(1387.053233642578), np.float64(1050.9332986450195)), 'eye_left': (np.float64(1523.1754650878906), np.float64(1050.9332986450195))}"
18197,mediapipe,10.3,1,"[np.float32(366.32214), np.float32(-239.11801), np.float32(1942.822), np.float32(1421.7357)]","{'eye_right': (843.370849609375, 289.2127380371094), 'eye_left': (1598.545166015625, 236.35830688476562)}"
18197,yunet,53.0,0,,
18197,yolo,24.0,1,"[np.float64(1376.6878967285156), np.float64(56.12101364135742), np.float64(1919.400146484375), np.float64(719.6599388122559)]","{'eye_right': (np.float64(1582.9185516357422), np.float64(308.26580520629886)), 'eye_left': (np.float64(1713.1694915771484), np.float64(308.26580520629886))}"
36394,mediapipe,6.0,0,,
36394,yunet,70.2,0,,
36394,yolo,28.4,1,"[np.float64(35.863563537597656), np.float64(309.39196014404297), np.float64(800.16796875), np.float64(980.8707046508789)]","{'eye_right': (np.float64(326.2992375183106), np.float64(564.5538830566406)), 'eye_left': (np.float64(509.7322947692871), np.float64(564.5538830566406))}"
54590,mediapipe,4.7,0,,
54590,yunet,66.6,0,,
54590,yolo,23.2,1,"[np.float64(67.51638793945312), np.float64(280.1649627685547), np.float64(907.0480041503906), np.float64(989.7773551940918)]","{'eye_right': (np.float64(386.53840209960936), np.float64(549.8176718902588)), 'eye_left': (np.float64(588.0259899902344), np.float64(549.8176718902588))}"
72787,mediapipe,4.7,0,,
72787,yunet,51.5,0,,
72787,yolo,25.0,1,"[np.float64(763.058349609375), np.float64(818.393726348877), np.float64(1774.5313110351562), np.float64(1080.3428764343262)]","{'eye_right': (np.float64(1147.418074951172), np.float64(917.9344033813477)), 'eye_left': (np.float64(1390.1715856933592), np.float64(917.9344033813477))}"
