sample_id,subject,block_num,condition,temporal_stratum,capture_frame_idx,avi_frame_idx,unix_ms,eye,pipeline_status,face_status,roi_status,frame_purpose,context_path,roi_path,old_crop_path,corner_distance_source_px,source_to_roi_affine,roi_to_source_affine,source_video,source_video_id,source_timestamps,source_timestamps_id,source_master_timeline,source_master_timeline_id,pipeline_version,config_digest,generated_at
sub-000_b1_s1_f00010110_eye_right,sub-000,1,A,1,10110,10110,1786327682298,eye_right,ready_for_annotation,observed,ready,无旧crop基线,context/sub-000_b1_s1_f00010110.jpg,roi/sub-000_b1_s1_f00010110_eye_right.png,,181.1761016845703,"[[0.8825949914923306,-0.03040854487116704,-543.0577732233286],[0.030408693624945398,0.8825945452309956,-346.36371114900106]]","[[1.1316791534423825,0.03899040222167973,628.072021484375],[-0.038990592956543065,1.1316797256469724,370.7986450195312]]",E:\预实验\sub-000_\nir\sub-000_nir.avi,sha256-head:2a1bcbb2cf32b66a:size:8317249580,E:\预实验\sub-000_\nir\sub-000_nir_timestamps.csv,sha256-head:576a927af36cd2d3:size:1730740,E:\预实验\sub-000_\beh\master_timeline.csv,sha256-head:7567e6522d32f9dc:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-000_b1_s1_f00010110_eye_left,sub-000,1,A,1,10110,10110,1786327682298,eye_left,ready_for_annotation,observed,ready,无旧crop基线,context/sub-000_b1_s1_f00010110.jpg,roi/sub-000_b1_s1_f00010110_eye_left.png,,168.7030487060547,"[[0.940857529305082,-0.11946768677126585,-954.7103537678948],[0.11946751520807167,0.9408573577418884,-466.19530471396354]]","[[1.0459953308105467,0.13281784057617246,1060.5416259765627],[-0.1328176498413086,1.04599552154541,360.8358154296875]]",E:\预实验\sub-000_\nir\sub-000_nir.avi,sha256-head:2a1bcbb2cf32b66a:size:8317249580,E:\预实验\sub-000_\nir\sub-000_nir_timestamps.csv,sha256-head:576a927af36cd2d3:size:1730740,E:\预实验\sub-000_\beh\master_timeline.csv,sha256-head:7567e6522d32f9dc:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-002_b2_s1_f00019503_eye_right,sub-002,2,B,1,19503,19503,1786274105674,eye_right,no_face,no_face,missing,双眼no_face,context/sub-002_b2_s1_f00019503.jpg,,,,,,E:\预实验\sub-002_\nir\sub-002_nir.avi,sha256-head:7852f710ef34fb1e:size:10118049778,E:\预实验\sub-002_\nir\sub-002_nir_timestamps.csv,sha256-head:2d550939d5bdb586:size:1716924,E:\预实验\sub-002_\beh\master_timeline.csv,sha256-head:381012f8e4b8d8d6:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-002_b2_s1_f00019503_eye_left,sub-002,2,B,1,19503,19503,1786274105674,eye_left,no_face,no_face,missing,双眼no_face,context/sub-002_b2_s1_f00019503.jpg,,,,,,E:\预实验\sub-002_\nir\sub-002_nir.avi,sha256-head:7852f710ef34fb1e:size:10118049778,E:\预实验\sub-002_\nir\sub-002_nir_timestamps.csv,sha256-head:2d550939d5bdb586:size:1716924,E:\预实验\sub-002_\beh\master_timeline.csv,sha256-head:381012f8e4b8d8d6:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-004_b3_s2_f00033858_eye_right,sub-004,3,C,2,33858,33858,1786360794015,eye_right,ready_for_annotation,observed,ready,旧/new ROI配对,context/sub-004_b3_s2_f00033858.jpg,roi/sub-004_b3_s2_f00033858_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-004_\eye_right\frame_00033858.png,193.71231079101562,"[[0.8222673646433168,0.07809024026079621,-552.9705575423552],[-0.0780905005078129,0.8222676248903329,-442.672556377909]]","[[1.2052787780761711,-0.11446456909179668,615.8133544921876],[0.11446495056152355,1.205278396606445,596.8394165039062]]",E:\预实验\sub-004_\nir\sub-004_nir.avi,sha256-head:6799fcb0d73228aa:size:15554732450,E:\预实验\sub-004_\nir\sub-004_nir_timestamps.csv,sha256-head:c9756c22466648ca:size:2594679,E:\预实验\sub-004_\beh\master_timeline.csv,sha256-head:d37b0305dff4854a:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-004_b3_s2_f00033858_eye_left,sub-004,3,C,2,33858,33858,1786360794015,eye_left,ready_for_annotation,observed,ready,旧/new ROI配对,context/sub-004_b3_s2_f00033858.jpg,roi/sub-004_b3_s2_f00033858_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-004_\eye_left\frame_00033858.png,202.10800170898438,"[[0.7889798503067927,-0.06503779182892049,-825.5532477258861],[0.06503779182892033,0.7889798503067929,-564.4400927690886]]","[[1.258905029296875,0.103775024414063,1097.867919921875],[-0.10377502441406276,1.2589050292968749,624.9046630859375]]",E:\预实验\sub-004_\nir\sub-004_nir.avi,sha256-head:6799fcb0d73228aa:size:15554732450,E:\预实验\sub-004_\nir\sub-004_nir_timestamps.csv,sha256-head:c9756c22466648ca:size:2594679,E:\预实验\sub-004_\beh\master_timeline.csv,sha256-head:d37b0305dff4854a:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-006_b4_s2_f00040780_eye_right,sub-006,4,C,2,40780,40780,1786363109469,eye_right,ready_for_annotation,observed,ready,旧/new ROI配对,context/sub-006_b4_s2_f00040780.jpg,roi/sub-006_b4_s2_f00040780_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-006_\eye_right\frame_00040780.png,218.88482666015625,"[[0.7131255165319622,0.16056408925448312,-454.1496124256015],[-0.1605642930848238,0.7131257203623024,-294.26605125957224]]","[[1.3346191406249999,-0.30049667358398374,517.6907958984375],[0.3004970550537111,1.3346187591552736,529.20361328125]]",E:\预实验\sub-006_\nir\sub-006_nir.avi,sha256-head:9e17f60ffe1a49eb:size:10411603136,E:\预实验\sub-006_\nir\sub-006_nir_timestamps.csv,sha256-head:cf7dbaad140c482e:size:1533356,E:\预实验\sub-006_\beh\master_timeline.csv,sha256-head:68cca1ffca117f26:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-006_b4_s2_f00040780_eye_left,sub-006,4,C,2,40780,40780,1786363109469,eye_left,ready_for_annotation,observed,ready,旧/new ROI配对,context/sub-006_b4_s2_f00040780.jpg,roi/sub-006_b4_s2_f00040780_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-006_\eye_left\frame_00040780.png,209.97023010253906,"[[0.7606606964196,0.04537409642249442,-789.3945141715805],[-0.045374317928110204,0.7606609179252164,-435.78338932010064]]","[[1.3099853515624997,-0.07814178466796927,1000.0423583984374],[0.07814216613769531,1.3099849700927726,632.5546875000001]]",E:\预实验\sub-006_\nir\sub-006_nir.avi,sha256-head:9e17f60ffe1a49eb:size:10411603136,E:\预实验\sub-006_\nir\sub-006_nir_timestamps.csv,sha256-head:cf7dbaad140c482e:size:1533356,E:\预实验\sub-006_\beh\master_timeline.csv,sha256-head:68cca1ffca117f26:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-008_b5_s3_f00060944_eye_right,sub-008,5,B,3,60944,60944,1786413517442,eye_right,ready_for_annotation,observed,ready,反光/质量压力,context/sub-008_b5_s3_f00060944.jpg,roi/sub-008_b5_s3_f00060944_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-008_\eye_right\frame_00060944.png,240.34268188476562,"[[0.6639851055991595,-0.047976617184529086,-20.53686670888026],[0.04797657491978138,0.6639851478639073,-242.12114602564876]]","[[1.4982357978820802,0.10825586318969725,56.980102539062486],[-0.10825576782226591,1.4982357025146484,360.53131103515625]]",E:\预实验\sub-008_\nir\sub-008_nir.avi,sha256-head:232f14db1781c7df:size:7904423736,E:\预实验\sub-008_\nir\sub-008_nir_timestamps.csv,sha256-head:1563ae4773fa7b4b:size:1749660,E:\预实验\sub-008_\beh\master_timeline.csv,sha256-head:30c510ce2c2b41dd:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-008_b5_s3_f00060944_eye_left,sub-008,5,B,3,60944,60944,1786413517442,eye_left,ready_for_annotation,observed,ready,反光/质量压力,context/sub-008_b5_s3_f00060944.jpg,roi/sub-008_b5_s3_f00060944_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-008_\eye_left\frame_00060944.png,252.78118896484375,"[[0.6315810498735599,-0.04173531864239208,-375.55380832193146],[0.041735471473111456,0.6315812027042798,-229.40540644922828]]","[[1.576444244384766,0.10417251586914175,615.9373779296876],[-0.10417289733886709,1.5764438629150395,322.522216796875]]",E:\预实验\sub-008_\nir\sub-008_nir.avi,sha256-head:232f14db1781c7df:size:7904423736,E:\预实验\sub-008_\nir\sub-008_nir_timestamps.csv,sha256-head:1563ae4773fa7b4b:size:1749660,E:\预实验\sub-008_\beh\master_timeline.csv,sha256-head:30c510ce2c2b41dd:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
