image_id,subject,video,frame_idx,frame_type,n_eye_boxes,quality,annotator,review_status,notes
subject_sub-011_frame_011337,sub-011,sub-011_nir.avi,11337,,,,,,
subject_sub-011_frame_014529,sub-011,sub-011_nir.avi,14529,,,,,,
subject_sub-011_frame_017721,sub-011,sub-011_nir.avi,17721,,,,,,
subject_sub-011_frame_020912,sub-011,sub-011_nir.avi,20912,,,,,,
subject_sub-011_frame_024105,sub-011,sub-011_nir.avi,24105,,,,,,
subject_sub-011_frame_033254,sub-011,sub-011_nir.avi,33254,,,,,,
subject_sub-011_frame_036534,sub-011,sub-011_nir.avi,36534,,,,,,
subject_sub-011_frame_039814,sub-011,sub-011_nir.avi,39814,,,,,,
subject_sub-011_frame_043094,sub-011,sub-011_nir.avi,43094,,,,,,
subject_sub-011_frame_046374,sub-011,sub-011_nir.avi,46374,,,,,,
subject_sub-011_frame_055838,sub-011,sub-011_nir.avi,55838,,,,,,
subject_sub-011_frame_058985,sub-011,sub-011_nir.avi,58985,,,,,,
subject_sub-011_frame_062131,sub-011,sub-011_nir.avi,62131,,,,,,
subject_sub-011_frame_065278,sub-011,sub-011_nir.avi,65278,,,,,,
subject_sub-011_frame_068423,sub-011,sub-011_nir.avi,68423,,,,,,
subject_sub-012_frame_011730,sub-012,sub-012_nir.avi,11730,,,,,,
subject_sub-012_frame_014995,sub-012,sub-012_nir.avi,14995,,,,,,
subject_sub-012_frame_018262,sub-012,sub-012_nir.avi,18262,,,,,,
subject_sub-012_frame_021530,sub-012,sub-012_nir.avi,21530,,,,,,
subject_sub-012_frame_024798,sub-012,sub-012_nir.avi,24798,,,,,,
subject_sub-012_frame_033459,sub-012,sub-012_nir.avi,33459,,,,,,
subject_sub-012_frame_036834,sub-012,sub-012_nir.avi,36834,,,,,,
subject_sub-012_frame_040210,sub-012,sub-012_nir.avi,40210,,,,,,
subject_sub-012_frame_043586,sub-012,sub-012_nir.avi,43586,,,,,,
subject_sub-012_frame_046962,sub-012,sub-012_nir.avi,46962,,,,,,
subject_sub-012_frame_055330,sub-012,sub-012_nir.avi,55330,,,,,,
subject_sub-012_frame_058609,sub-012,sub-012_nir.avi,58609,,,,,,
subject_sub-012_frame_061888,sub-012,sub-012_nir.avi,61888,,,,,,
subject_sub-012_frame_065166,sub-012,sub-012_nir.avi,65166,,,,,,
subject_sub-012_frame_068445,sub-012,sub-012_nir.avi,68445,,,,,,
subject_sub-013_frame_012501,sub-013,sub-013_nir.avi,12501,,,,,,
subject_sub-013_frame_015833,sub-013,sub-013_nir.avi,15833,,,,,,
subject_sub-013_frame_019164,sub-013,sub-013_nir.avi,19164,,,,,,
subject_sub-013_frame_022496,sub-013,sub-013_nir.avi,22496,,,,,,
subject_sub-013_frame_025828,sub-013,sub-013_nir.avi,25828,,,,,,
subject_sub-013_frame_034107,sub-013,sub-013_nir.avi,34107,,,,,,
subject_sub-013_frame_037378,sub-013,sub-013_nir.avi,37378,,,,,,
subject_sub-013_frame_040648,sub-013,sub-013_nir.avi,40648,,,,,,
subject_sub-013_frame_043920,sub-013,sub-013_nir.avi,43920,,,,,,
subject_sub-013_frame_047190,sub-013,sub-013_nir.avi,47190,,,,,,
subject_sub-013_frame_055171,sub-013,sub-013_nir.avi,55171,,,,,,
subject_sub-013_frame_058446,sub-013,sub-013_nir.avi,58446,,,,,,
subject_sub-013_frame_061721,sub-013,sub-013_nir.avi,61721,,,,,,
subject_sub-013_frame_064996,sub-013,sub-013_nir.avi,64996,,,,,,
subject_sub-013_frame_068270,sub-013,sub-013_nir.avi,68270,,,,,,
subject_sub-014_frame_011534,sub-014,sub-014_nir.avi,11534,,,,,,
subject_sub-014_frame_014827,sub-014,sub-014_nir.avi,14827,,,,,,
subject_sub-014_frame_018118,sub-014,sub-014_nir.avi,18118,,,,,,
subject_sub-014_frame_021412,sub-014,sub-014_nir.avi,21412,,,,,,
subject_sub-014_frame_024705,sub-014,sub-014_nir.avi,24705,,,,,,
subject_sub-014_frame_034732,sub-014,sub-014_nir.avi,34732,,,,,,
subject_sub-014_frame_038057,sub-014,sub-014_nir.avi,38057,,,,,,
subject_sub-014_frame_041384,sub-014,sub-014_nir.avi,41384,,,,,,
subject_sub-014_frame_044711,sub-014,sub-014_nir.avi,44711,,,,,,
subject_sub-014_frame_048037,sub-014,sub-014_nir.avi,48037,,,,,,
subject_sub-014_frame_056558,sub-014,sub-014_nir.avi,56558,,,,,,
subject_sub-014_frame_060036,sub-014,sub-014_nir.avi,60036,,,,,,
