subject,batch,split
sub-011,batch1,train
sub-012,batch1,test
sub-013,batch1,train
sub-014,batch1,train
sub-015,batch1,val
sub-016,batch1,train
sub-017,batch1,train
sub-018,batch1,train
sub-019,batch1,train
sub-020,batch1,train
sub-021,batch1,test
sub-022,batch1,train
sub-023,batch1,train
sub-024,batch1,train
sub-025,batch1,train
sub-026,batch1,train
sub-027,batch1,train
sub-028,batch1,val
sub-029,batch1,train
sub-030,batch1,val
sub-9504,batch1,test
sub-031,batch2,train
sub-032,batch2,test
sub-033,batch2,train
sub-034,batch2,train
sub-035,batch2,val
sub-036,batch2,train
sub-037,batch2,train
sub-038,batch2,train
sub-039,batch2,train
sub-040,batch2,train
sub-041,batch2,test
sub-042,batch2,train
sub-043,batch2,train
sub-044,batch2,train
sub-045,batch2,train
sub-046,batch2,train
sub-047,batch2,val
sub-048,batch2,train
sub-049,batch2,train
sub-050,batch2,train
sub-051,batch2,test
sub-052,batch2,val
sub-053,batch2,train
sub-054,batch2,val
sub-055,batch2,test
sub-061,batch2,train
