subject,batch,Block1,Block2,Block3,total
sub-011,batch1,5,5,5,15
sub-012,batch1,5,5,5,15
sub-013,batch1,5,5,5,15
sub-014,batch1,5,5,5,15
sub-015,batch1,5,5,5,15
sub-016,batch1,5,5,5,15
sub-017,batch1,5,5,5,15
sub-018,batch1,5,5,5,15
sub-019,batch1,5,5,5,15
sub-020,batch1,5,5,5,15
sub-021,batch1,5,5,5,15
sub-022,batch1,5,5,5,15
sub-023,batch1,5,5,5,15
sub-024,batch1,5,5,5,15
sub-025,batch1,5,5,5,15
sub-026,batch1,5,5,5,15
sub-027,batch1,5,5,5,15
sub-028,batch1,5,5,5,15
sub-029,batch1,5,5,5,15
sub-030,batch1,5,5,5,15
sub-031,batch2,5,5,0,10
sub-032,batch2,5,5,0,10
sub-033,batch2,5,5,0,10
sub-034,batch2,5,5,0,10
sub-035,batch2,5,5,0,10
sub-036,batch2,5,5,0,10
sub-037,batch2,5,5,0,10
sub-038,batch2,5,5,0,10
sub-039,batch2,5,5,0,10
sub-040,batch2,5,5,0,10
sub-041,batch2,5,5,0,10
sub-042,batch2,5,5,0,10
sub-043,batch2,5,5,0,10
sub-044,batch2,5,5,0,10
sub-045,batch2,5,5,0,10
sub-046,batch2,5,5,0,10
sub-047,batch2,5,5,0,10
sub-048,batch2,5,5,0,10
sub-049,batch2,5,5,0,10
sub-050,batch2,5,5,0,10
sub-051,batch2,5,5,0,10
sub-052,batch2,5,5,0,10
sub-053,batch2,5,5,0,10
sub-054,batch2,5,5,0,10
sub-055,batch2,5,5,0,10
sub-061,batch2,5,5,0,10
sub-9504,batch1,5,5,5,15
