image_id,subject,batch,block,frame_idx,unix_ms,image_path,source_video
subject_sub-011_frame_011337,sub-011,batch1,1,11337,1786792015890,images/batch1/subject_sub-011_frame_011337.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_014529,sub-011,batch1,1,14529,1786792122253,images/batch1/subject_sub-011_frame_014529.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_017721,sub-011,batch1,1,17721,1786792228669,images/batch1/subject_sub-011_frame_017721.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_020912,sub-011,batch1,1,20912,1786792335039,images/batch1/subject_sub-011_frame_020912.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_024105,sub-011,batch1,1,24105,1786792441452,images/batch1/subject_sub-011_frame_024105.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_033254,sub-011,batch1,2,33254,1786792746410,images/batch1/subject_sub-011_frame_033254.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_036534,sub-011,batch1,2,36534,1786792855755,images/batch1/subject_sub-011_frame_036534.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_039814,sub-011,batch1,2,39814,1786792965082,images/batch1/subject_sub-011_frame_039814.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_043094,sub-011,batch1,2,43094,1786793074425,images/batch1/subject_sub-011_frame_043094.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_046374,sub-011,batch1,2,46374,1786793183752,images/batch1/subject_sub-011_frame_046374.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_055838,sub-011,batch1,3,55838,1786793499245,images/batch1/subject_sub-011_frame_055838.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_058985,sub-011,batch1,3,58985,1786793604136,images/batch1/subject_sub-011_frame_058985.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_062131,sub-011,batch1,3,62131,1786793708983,images/batch1/subject_sub-011_frame_062131.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
