"reviewer_id","reviewer_role","annotated_at","sample_id","visibility","quality","note","center_x","center_y","major_x","major_y","minor_x","minor_y"
"lxy","primary","2026-08-13T17:52:32.114Z","sub-000_b1_s1_f00010110_eye_right","可见","glasses_frame","","151.27962358808514","65.23584200271594","150.2843629065846","75.14150180079116","160.23696972159019","65.23584200271594"
"lxy","primary","2026-08-13T17:52:56.404Z","sub-000_b1_s1_f00010110_eye_left","可见","glasses_frame","","147.2985808620829","66.22640798252347","147.2985808620829","77.12263376040622","157.25118767708852","67.216973962331"
"lxy","primary","2026-08-13T17:53:04.119Z","sub-002_b2_s1_f00019503_eye_right","不可见","blur|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:53:24.606Z","sub-002_b2_s1_f00019503_eye_left","不可见","blur|eyelid_occlusion","跟上一张是一样的，没截出左右眼","","","","","",""
"lxy","primary","2026-08-13T17:53:37.603Z","sub-004_b3_s2_f00033858_eye_right","可见","eyelid_occlusion","","147.2985808620829","54.33961622483321","147.2985808620829","69.19810592194604","160.23696972159019","56.32074818444825"
"lxy","primary","2026-08-13T17:53:51.298Z","sub-004_b3_s2_f00033858_eye_left","可见","eyelid_occlusion","","157.25118767708852","54.33961622483321","158.24644835858908","63.2547100431009","168.19905517359467","57.31131416425577"
"lxy","primary","2026-08-13T17:53:56.954Z","sub-006_b4_s2_f00040780_eye_right","不可见","blur|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:54:06.820Z","sub-006_b4_s2_f00040780_eye_left","不确定","blur|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:54:13.674Z","sub-008_b5_s3_f00060944_eye_right","不可见","blur|overexposure|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:54:20.463Z","sub-008_b5_s3_f00060944_eye_left","不可见","blur|overexposure|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:54:35.882Z","sub-010_b6_s4_f00078220_eye_right","可见","blur|eyelid_occlusion","","151.27962358808514","69.19810592194604","151.27962358808514","80.09433169982877","162.22749108459132","70.18867190175355"
"lxy","primary","2026-08-13T17:55:01.023Z","sub-010_b6_s4_f00078220_eye_left","可见","blur","跟上一张一样，光线不够有阴影","171.18483721809636","71.17923788156108","171.18483721809636","82.07546365944383","181.13744403310196","75.14150180079116"
"lxy","primary","2026-08-13T17:55:08.862Z","sub-000_b1_s2_f00011392_eye_right","不可见","blur|eyelid_occlusion","","","","","","",""
"lxy","primary","2026-08-13T17:55:18.569Z","sub-000_b1_s2_f00011392_eye_left","不可见","blur|eyelid_occlusion","跟上一张一样，闭眼","","","","","",""
"lxy","primary","2026-08-13T17:55:39.176Z","sub-001_b3_s3_f00034801_eye_right","不可见","blur|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:55:46.729Z","sub-001_b3_s3_f00034801_eye_left","不可见","blur|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:55:55.293Z","sub-002_b4_s2_f00046572_eye_right","不可见","blur|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:55:59.773Z","sub-002_b4_s2_f00046572_eye_left","不可见","blur|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:13.655Z","sub-003_b3_s1_f00034950_eye_right","不可见","blur|overexposure|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:14.077Z","sub-003_b3_s1_f00034950_eye_left","不可见","blur|overexposure|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:22.699Z","sub-005_b2_s3_f00028523_eye_right","不可见","reflection|glasses_frame|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:29.728Z","sub-005_b2_s3_f00028523_eye_left","不可见","reflection|glasses_frame|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:38.199Z","sub-009_b5_s3_f00056818_eye_right","不可见","blur|overexposure|eyelid_occlusion","闭眼>80%","","","","","",""
"lxy","primary","2026-08-13T17:56:48.315Z","sub-009_b5_s3_f00056818_eye_left","不可见","blur|overexposure|eyelid_occlusion","闭眼>80%","","","","","",""
