frame,backend,ms,faces,box,eye_points
9441,mediapipe,4.1,0,,
9441,yunet,52.6,0,,
9441,yolo,27.2,1,"[np.float64(984.9556274414062), np.float64(0.9180107116699219), np.float64(1783.724853515625), np.float64(596.3866424560547)]","{'eye_right': (np.float64(1288.4879333496094), np.float64(227.19609077453615)), 'eye_left': (np.float64(1480.1925476074218), np.float64(227.19609077453615))}"
9471,mediapipe,4.3,0,,
9471,yunet,58.2,0,,
9471,yolo,27.9,1,"[np.float64(949.4053344726562), np.float64(1.095937728881836), np.float64(1768.7107543945312), np.float64(602.9240055084229)]","{'eye_right': (np.float64(1260.7413940429688), np.float64(229.79060348510743)), 'eye_left': (np.float64(1457.3746948242188), np.float64(229.79060348510743))}"
9501,mediapipe,4.4,0,,
9501,yunet,59.1,0,,
9501,yolo,28.2,1,"[np.float64(958.2855834960938), np.float64(0.6880702972412109), np.float64(1777.02392578125), np.float64(603.039722442627)]","{'eye_right': (np.float64(1269.4061535644532), np.float64(229.5816981124878)), 'eye_left': (np.float64(1465.9033557128905), np.float64(229.5816981124878))}"
9531,mediapipe,4.7,0,,
9531,yunet,61.7,0,,
9531,yolo,26.4,1,"[np.float64(961.9140014648438), np.float64(0.8102760314941406), np.float64(1790.0205688476562), np.float64(601.2110137939453)]","{'eye_right': (np.float64(1276.5944970703126), np.float64(228.9625563812256)), 'eye_left': (np.float64(1475.3400732421874), np.float64(228.9625563812256))}"
