image,subject,batch,split,n_boxes
images/train/subject_sub-011_frame_011337.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_014529.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_017721.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_020912.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_024105.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_033254.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_036534.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_039814.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_043094.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_046374.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_055838.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_058985.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_062131.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_065278.jpg,sub-011,batch1,train,2
images/train/subject_sub-011_frame_068423.jpg,sub-011,batch1,train,2
images/test/subject_sub-012_frame_011730.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_014995.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_018262.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_021530.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_024798.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_033459.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_036834.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_040210.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_043586.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_046962.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_055330.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_058609.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_061888.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_065166.jpg,sub-012,batch1,test,2
images/test/subject_sub-012_frame_068445.jpg,sub-012,batch1,test,2
images/train/subject_sub-013_frame_012501.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_015833.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_019164.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_022496.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_025828.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_034107.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_037378.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_040648.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_043920.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_047190.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_055171.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_058446.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_061721.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_064996.jpg,sub-013,batch1,train,2
images/train/subject_sub-013_frame_068270.jpg,sub-013,batch1,train,2
images/train/subject_sub-014_frame_011534.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_014827.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_018118.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_021412.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_024705.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_034732.jpg,sub-014,batch1,train,2
images/train/subject_sub-014_frame_038057.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_041384.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_044711.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_048037.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_056558.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_060036.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_063514.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_066992.jpg,sub-014,batch1,train,1
images/train/subject_sub-014_frame_070470.jpg,sub-014,batch1,train,1
images/val/subject_sub-015_frame_015488.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_018698.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_021908.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_025118.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_028328.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_037129.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_040299.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_043469.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_046638.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_049809.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_058828.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_062081.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_065335.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_068589.jpg,sub-015,batch1,val,2
images/val/subject_sub-015_frame_071843.jpg,sub-015,batch1,val,2
images/train/subject_sub-016_frame_010554.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_013869.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_017184.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_020499.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_023814.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_032875.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_036316.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_039755.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_046634.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_057753.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_060977.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_064200.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_067423.jpg,sub-016,batch1,train,2
images/train/subject_sub-016_frame_070646.jpg,sub-016,batch1,train,2
images/train/subject_sub-017_frame_012336.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_015581.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_018824.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_022069.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_025313.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_033468.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_036613.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_039757.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_042901.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_046046.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_054360.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_057494.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_060629.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_063764.jpg,sub-017,batch1,train,2
images/train/subject_sub-017_frame_066900.jpg,sub-017,batch1,train,2
images/train/subject_sub-018_frame_012300.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_015538.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_018777.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_022015.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_025254.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_033654.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_036828.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_040002.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_043177.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_046350.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_054039.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_057207.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_060374.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_063541.jpg,sub-018,batch1,train,2
images/train/subject_sub-018_frame_066709.jpg,sub-018,batch1,train,2
images/train/subject_sub-019_frame_018823.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_022519.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_026214.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_029911.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_033606.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_048051.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_051656.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_055261.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_058865.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_062470.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_074292.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_077706.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_081120.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_084535.jpg,sub-019,batch1,train,2
images/train/subject_sub-019_frame_087949.jpg,sub-019,batch1,train,2
images/train/subject_sub-020_frame_014997.jpg,sub-020,batch1,train,2
images/train/subject_sub-020_frame_018372.jpg,sub-020,batch1,train,2
images/train/subject_sub-020_frame_021747.jpg,sub-020,batch1,train,2
images/train/subject_sub-020_frame_025122.jpg,sub-020,batch1,train,2
