epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8441,1.46128,4.70618,0.01138,0.00658,1,0.60628,0.38228,0.92425,4.8507,0.01144,0.00064,0.00064,0.00064
2,183.867,1.17842,3.46085,0.00913,0.65973,0.82692,0.81704,0.44271,1.12349,4.55686,0.01381,0.00129373,0.00129373,0.00129373
3,277.29,1.29965,2.60664,0.00989,0.81002,0.57396,0.81949,0.52503,1.17497,3.836,0.01449,0.00193426,0.00193426,0.00193426
4,368.229,1.28127,2.25418,0.01012,0.78565,0.76923,0.87147,0.60789,1.0325,2.90078,0.01267,0.0019406,0.0019406,0.0019406
5,461.133,1.18745,1.89526,0.00934,0.82504,0.87663,0.91772,0.62333,1.10978,2.08183,0.01376,0.0019208,0.0019208,0.0019208
6,552.206,1.23491,1.59918,0.00951,0.88751,0.92949,0.96419,0.5929,1.42342,1.62949,0.01907,0.001901,0.001901,0.001901
7,643.636,1.26358,1.36777,0.00957,0.91526,0.83084,0.95583,0.66854,1.09862,1.34919,0.01353,0.0018812,0.0018812,0.0018812
8,735.78,1.19532,1.1938,0.00893,0.91356,0.87821,0.96781,0.6686,1.13614,1.08519,0.01387,0.0018614,0.0018614,0.0018614
9,828.442,1.18766,1.12754,0.00916,0.95055,0.94872,0.98587,0.67488,1.19927,0.94525,0.01515,0.0018416,0.0018416,0.0018416
10,918.466,1.16467,0.9366,0.00863,0.92763,0.91026,0.98232,0.65079,1.19578,0.93991,0.01532,0.0018218,0.0018218,0.0018218
11,1008.46,1.1855,0.90534,0.00922,0.92239,0.91425,0.97195,0.6708,1.1347,0.88502,0.01403,0.001802,0.001802,0.001802
12,1098.75,1.06848,0.7863,0.00803,0.96415,0.90385,0.97966,0.65335,1.24349,0.78163,0.01569,0.0017822,0.0017822,0.0017822
